Section,Item,Material Design,Human Interface Guidelines,Fluent 2 Design System,Atlassian Design System,Ant Design,Carbon Design System,Lightning Design System,Primer Product UI,Spectrum,SmartHR Design System,Sparkle Design,デジタル庁デザインシステムβ版
Metadata,Design system name,Material Design,Human Interface Guidelines,Fluent 2 Design System,Atlassian Design System,Ant Design,Carbon Design System,Lightning Design System,Primer Product UI,Spectrum,SmartHR Design System,Sparkle Design,デジタル庁デザインシステムβ版
Metadata,Provider,Google,Apple,Microsoft,Atlassian,Ant Group,IBM,Salesforce,GitHub,Adobe,SmartHR,Goodpatch,デジタル庁
Metadata,Primary URL,https://m3.material.io/,https://developer.apple.com/design/human-interface-guidelines/,https://fluent2.microsoft.design/,https://atlassian.design/,https://ant.design/,https://carbondesignsystem.com/,https://v1.lightningdesignsystem.com/,https://primer.style/product,https://spectrum.adobe.com/,https://smarthr.design/,https://sparkle-design.goodpatch.com/sparkle-design,https://design.digital.go.jp/
Metadata,Documentation scope,"Foundations + styles + components + patterns","Platform conventions + controls + app architecture","Foundations + tokens + components + templates","Foundations + content + components + tooling","Design values + patterns + React components","Guidelines + tokens + components + data viz","Blueprints + accessibility + implementation guidance","Guidelines + primitives + patterns + components","Language + workflow + components + tokens","Principles + tokens + product + accessibility","Consulting-led design system guidance + assets","Government web guidance + components + examples"
Metadata,Primary product focus,"Cross-platform product UI","Apple platform apps","Cross-platform Microsoft product UI","Atlassian cloud products","Enterprise web applications","Enterprise products and dashboards","Salesforce application UI","GitHub product interfaces","Adobe product and marketing flows","HR SaaS product UI","Client and in-house digital products","Japanese public service websites"
Metadata,Status/maintenance,"Active | Material 3 current","Active | continuously updated by Apple","Active | Fluent 2 current","Active | core Atlassian system","Active | v5 current","Active | IBM maintained","Active | SLDS 1 public docs","Active | GitHub maintained","Active | Adobe maintained","Active | SmartHR maintained","Active | publicly launched 2025","Beta | public government rollout"
Metadata,License/Open source,"Guidance open | Android libs available","Guidance proprietary | platform SDKs","Guidance open | Fluent UI OSS","Guidance open | Atlaskit OSS mix","MIT | ant-design open source","Apache-2.0 | carbon open source","BSD-style assets + platform implementations","MIT | Primer React open source","Guidance open | React Spectrum OSS related","Guidance open | SmartHR UI OSS","Public docs | OSS status not central","Guidance open | OSS not primary focus"
Platform,Web,"Yes | core web guidance","Yes | Safari/web adaptation","Yes | web first docs","Yes | cloud web apps","Yes | primary target","Yes | strong web focus","Yes | responsive enterprise web","Yes | GitHub web app UI","Yes | web workflows","Yes | primary product target","Yes | website and app design","Yes | government websites"
Platform,iOS,"Yes | Android emphasis but adaptable","Yes | iPhone and iPad native","Yes | cross-platform guidance","N/A | not a native iOS system","Limited | Ant Design Mobile exists","Limited | not primary focus","Limited | Salesforce mobile patterns separate","Limited | not primary target","Limited | some mobile web patterns","Limited | app-specific not central","N/A | not publicly positioned for iOS","N/A | web-first guidance"
Platform,Android,"Yes | Android canonical","N/A | Apple-only guidance","Yes | Android support via Fluent UI","N/A | web-first","Limited | Ant Design Mobile exists","Limited | not Android-native guidance","Limited | mobile web and Salesforce apps","N/A | not Android-native guidance","Limited | not Android-native guidance","Limited | app-specific not public focus","N/A | not public Android system","N/A | web-first guidance"
Platform,Desktop,"Yes | large-screen guidance","Yes | macOS specific","Yes | Windows desktop heritage","Yes | desktop web apps","Yes | enterprise desktop web","Yes | enterprise dashboards","Yes | desktop CRM workflows","Yes | desktop-heavy workflows","Yes | desktop creative workflows","Yes | desktop web product","Yes | desktop productivity sites","Yes | administrative web systems"
Platform,Cross-platform guidance,"High | phones to large screens","Medium | per-platform docs","High | coherent across surfaces","Medium | mostly Atlassian web ecosystem","Medium | web + mobile variants","High | IBM products across platforms","Medium | responsive and adaptive blueprints","Medium | GitHub product surfaces","High | Spectrum family spans products","Medium | design principles reused across products","Medium | consulting reusable patterns","Medium | common patterns for public sites"
Foundations,Design principles,"Material You | adaptive and expressive","Clarity, deference, depth","Open, welcoming, confident","Bold, optimistic, practical","Natural, certain, meaningful, growing","Carbon principles for clarity and scale","Clarity, efficiency, consistency","GitHub-first clarity and utility","Spectrum language and workflow consistency","Basic principles tied to SmartHR personality","System thinking for scalable product design","Accessibility and trust for public services"
Foundations,Accessibility,"Strong | accessibility foundations and alt text","Strong | built into platform guidance","Strong | inclusive by default guidance","Strong | dedicated accessibility content","Strong | WCAG-oriented component guidance","Strong | accessibility status per component","Strong | accessible blueprints emphasized","Strong | component-level accessibility docs","Strong | accessibility central across components","Strong | checklist and alt-text guidance","Medium | public guidance exists but not deep yet","Strong | public-sector accessibility emphasized"
Foundations,Content design,"Writing and labels in guidance","Writing guidance included","Microcopy guidance present","Dedicated content design guidance","Writing for enterprise flows","Content and naming guidance","Voice and tone guidance limited","Copy and UX writing within patterns","Voice and tone is a first-class section","Communication content category exists","Brand and communication guidance present","Plain Japanese and service writing implied"
Foundations,Internationalization,"Global writing guidance","Localization guidance across locales","Global products assumed","International product patterns implied","Internationalization support in components","Global enterprise support implied","Global Salesforce product support","Global GitHub product support","Global Adobe product support","Japanese product focus | global not primary","Global consulting context | docs mostly Japanese","Japanese government focus"
Foundations,Localization/RTL,"Limited | not core Material 3 section","Strong | locale-aware Apple controls","RTL support in Fluent UI ecosystem","Limited | not emphasized in top-level docs","Strong | direction and locale support in components","Strong | bidirectional support documented","Limited | not prominent in public docs","Limited | GitHub product focus","Strong | localization and global products","N/A | Japanese-first documentation","N/A | Japanese-first documentation","N/A | Japanese public-sector context"
Foundations,Dark mode,"Strong | dynamic color and dark theme","Strong | system dark mode guidance","Strong | light/dark theme built in","Strong | design tokens support themes","Strong | algorithmic dark themes","Strong | white and gray theme variants","Strong | styling hooks and themes","Strong | color modes through primitives","Strong | theming across products","Strong | product supports themes","Medium | theming discussed at system level","Limited | public docs focus on baseline web"
Foundations,Theming/customization,"High | color roles and dynamic schemes","Medium | platform appearance customization","High | theme tokens and brand ramps","High | tokens and theming infrastructure","High | seed tokens and algorithms","High | tokens and themes for products","High | styling hooks and design tokens","High | CSS variables and theme support","High | tokenized theming across apps","Medium | design tokens via SmartHR UI","Medium | reusable guidance, not a formal token engine","Low | standardization over customization"
Foundations,Layout/grid,"Responsive layout guidance","Platform layout and safe-area guidance","Layout and spacing guidance","Page layout patterns and spacing tokens","Grid and layout spec","2x grid and layout principles","Responsive grid utilities and page regions","Layout primitives and page patterns","Layout, workflow, and responsive guidance","Product layout guidance exists","Information architecture and layout guidance","Page templates and component layout examples"
